# Altium Pin Report File
Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,NetC110_1,VCCD_PLL3,,3.3-V LVCMOS,,,,,,,,,
2,GND,GNDA3,,3.3-V LVCMOS,,,,,,,,,
3,NetC108_1,VCCA3,,3.3-V LVCMOS,,,,,,,,,
4,GND,GND,,3.3-V LVCMOS,,,,,,,,,
5,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
6,ADC13_SCLK,"IO_B1_6/  DIFFIO_L3N/  DATA1,ASDO/",,3.3-V LVCMOS,,,,,,,,,
7,FSMC_nE,VREFB1N0,,3.3-V LVCMOS,,,,,,,,,
8,IDG1,"IO_B1_8/  DIFFIO_L4P/  FLASH_NCE,NCSO",,3.3-V LVCMOS,,,,,,,,,
9,nSTATUS,NSTATUS,,3.3-V LVCMOS,,,,,,,,,
10,ACD24_SDO,"IO_B1_10/  DIFFIO_L6P/  DQS0L/CQ1L,DPCLK0",,3.3-V LVCMOS,,,,,,,,,
11,ACD24_SDI,IO_B1_11/  DIFFIO_L6N,,3.3-V LVCMOS,,,,,,,,,
12,,DCLK,,3.3-V LVCMOS,,,,,,,,,
13,DATA0_11,IO_B1_13/  DATA0,,3.3-V LVCMOS,,,,,,,,,
14,,NCONFIG,,3.3-V LVCMOS,,,,,,,,,
15,TDI_11,TDI,,3.3-V LVCMOS,,,,,,,,,
16,TCK_11,TCK,,3.3-V LVCMOS,,,,,,,,,
17,+3.3B,VCCIO1,,3.3-V LVCMOS,,,,,,,,,
18,TMS_11,TMS,,3.3-V LVCMOS,,,,,,,,,
19,GND,GND,,3.3-V LVCMOS,,,,,,,,,
20,TDO_11,TDO,,3.3-V LVCMOS,,,,,,,,,
21,GND,NCE,,3.3-V LVCMOS,,,,,,,,,
22,GND,GND,,3.3-V LVCMOS,,,,,,,,,
23,REF_CLK_26,CLK1_23/  DIFFCLK_0N,,3.3-V LVCMOS,,,,,,,,,
24,,CLK2_24/  DIFFCLK_1P,,3.3-V LVCMOS,,,,,,,,,
25,,CLK3_25/  DIFFCLK_1N,,3.3-V LVCMOS,,,,,,,,,
26,+3.3B,VCCIO2,,3.3-V LVCMOS,,,,,,,,,
27,GND,GND,,3.3-V LVCMOS,,,,,,,,,
28,ACD24_SCLK,IO_B2_28/  DIFFIO_L8P,,3.3-V LVCMOS,,,,,,,,,
29,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
30,ACD24_SYNC,"IO_B2_30/  DIFFIO_L11P/  DQS1L/CQ1L#,DPCLK1",,3.3-V LVCMOS,,,,,,,,,
31,FSMC_nOE,VREFB2N0,,3.3-V LVCMOS,,,,,,,,,
32,ACD24_DRDY,IO_B2_32/  RUP1,,3.3-V LVCMOS,,,,,,,,,
33,ACD24_MCLK,IO_B2_33/  RDN1,,3.3-V LVCMOS,,,,,,,,,
34,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
35,NetC108_1,VCCA1,,3.3-V LVCMOS,,,,,,,,,
36,GND,GNDA1,,3.3-V LVCMOS,,,,,,,,,
37,NetC110_1,VCCD_PLL1,,3.3-V LVCMOS,,,,,,,,,
38,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
39,DAC_SCLK,IO_B3_39/  DIFFIO_B2P,,3.3-V LVCMOS,,,,,,,,,
40,+3.3B,VCCIO3,,3.3-V LVCMOS,,,,,,,,,
41,GND,GND,,3.3-V LVCMOS,,,,,,,,,
42,DAC_DIN,"IO_B3_42/  DQS1B/CQ1B#,CDPCLK2",,3.3-V LVCMOS,,,,,,,,,
43,ACD24_CS,IO_B3_43/  PLL1_CLKOUTP,,3.3-V LVCMOS,,,,,,,,,
44,DAC_CLR,IO_B3_44/  PLL1_CLKOUTN,,3.3-V LVCMOS,,,,,,,,,
45,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
46,FSMC_nWE,VREFB3N0,,3.3-V LVCMOS,,,,,,,,,
47,+3.3B,VCCIO3,,3.3-V LVCMOS,,,,,,,,,
48,GND,GND,,3.3-V LVCMOS,,,,,,,,,
49,ADC13_SDO-0,IO_B3_49/  DIFFIO_B9N/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
50,ADC13_SDO-1,IO_B3_50/  DIFFIO_B10N/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
51,ADC13_SDO-2,IO_B3_51/  DIFFIO_B11P/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
52,,CLK15_52/  DIFFCLK_6P,,3.3-V LVCMOS,,,,,,,,,
53,,CLK14_53/  DIFFCLK_6N,,3.3-V LVCMOS,,,,,,,,,
54,,CLK13_54/  DIFFCLK_7P,,3.3-V LVCMOS,,,,,,,,,
55,,CLK12_55/  DIFFCLK_7N,,3.3-V LVCMOS,,,,,,,,,
56,+3.3B,VCCIO4,,3.3-V LVCMOS,,,,,,,,,
57,GND,GND,,3.3-V LVCMOS,,,,,,,,,
58,ADC13_SDO-5,IO_B4_58/  DIFFIO_B16P/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
59,ADC13_SDO-6,IO_B4_59/  DIFFIO_B17P/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
60,ADC13_SDO-7,IO_B4_60/  DIFFIO_B17N/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
61,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
62,+3.3B,VCCIO4,,3.3-V LVCMOS,,,,,,,,,
63,GND,GND,,3.3-V LVCMOS,,,,,,,,,
64,DAC_LDAC,IO_B4_64,,3.3-V LVCMOS,,,,,,,,,
65,FSMC_nADV,VREFB4N0,,3.3-V LVCMOS,,,,,,,,,
66,ADC13_SDO-3,IO_B4_66/  RUP2/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
67,ADC13_SDO-4,IO_B4_67/  RDN2/  DQ1B,,3.3-V LVCMOS,,,,,,,,,
68,DAC_SYNC,"IO_B4_68/  DIFFIO_B23N/  DQS0B/CQ1B,CDPCLK3",,3.3-V LVCMOS,,,,,,,,,
69,SYNC,IO_B4_69/  DIFFIO_B24P,,3.3-V LVCMOS,,,,,,,,,
70,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
71,IDG2,IO_B4_71/  PLL4_CLKOUTP,,3.3-V LVCMOS,,,,,,,,,
72,IDM,IO_B4_72/  PLL4_CLKOUTN,,3.3-V LVCMOS,,,,,,,,,
73,NetC110_1,VCCD_PLL4,,3.3-V LVCMOS,,,,,,,,,
74,GND,GNDA4,,3.3-V LVCMOS,,,,,,,,,
75,NetC108_1,VCCA4,,3.3-V LVCMOS,,,,,,,,,
76,D0,IO_B5_76/  RUP3,,3.3-V LVCMOS,,,,,,,,,
77,D1,IO_B5_77/  RDN3,,3.3-V LVCMOS,,,,,,,,,
78,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
79,GND,GND,,3.3-V LVCMOS,,,,,,,,,
80,FSMC_nWAIT,VREFB5N0,,3.3-V LVCMOS,,,,,,,,,
81,+3.3B,VCCIO5,,3.3-V LVCMOS,,,,,,,,,
82,GND,GND,,3.3-V LVCMOS,,,,,,,,,
83,D2,IO_B5_83/  DIFFIO_R11P,,3.3-V LVCMOS,,,,,,,,,
84,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
85,D3,"IO_B5_85/  DIFFIO_R10P/  DQS1R/CQ1R#,DPCLK6",,3.3-V LVCMOS,,,,,,,,,
86,DG2,IO_B5_86/  DIFFIO_R9N/  DEV_OE,,3.3-V LVCMOS,,,,,,,,,
87,DG1,IO_B5_87/  DIFFIO_R9P/  DEV_CLRN,,3.3-V LVCMOS,,,,,,,,,
88,,CLK7_88/  DIFFCLK_3N,,3.3-V LVCMOS,,,,,,,,,
89,,CLK6_89/  DIFFCLK_3P,,3.3-V LVCMOS,,,,,,,,,
90,,CLK5_90/  DIFFCLK_2N,,3.3-V LVCMOS,,,,,,,,,
91,,CLK4_91/  DIFFCLK_2P,,3.3-V LVCMOS,,,,,,,,,
92,FPGS_CNFG.CONFIG_DONE,CONF_DONE,,3.3-V LVCMOS,,,,,,,,,
93,+3.3B,VCCIO6,,3.3-V LVCMOS,,,,,,,,,
94,+3.3B,MSEL0,,3.3-V LVCMOS,,,,,,,,,
95,GND,GND,,3.3-V LVCMOS,,,,,,,,,
96,GND,MSEL1,,3.3-V LVCMOS,,,,,,,,,
97,+3.3B,MSEL2,,3.3-V LVCMOS,,,,,,,,,
98,INIT_DONE,IO_B6_98/  DIFFIO_R5N/  INIT_DONE,,3.3-V LVCMOS,,,,,,,,,
99,DOUT1,IO_B6_99/  DIFFIO_R5P/  CRC_ERROR,,3.3-V LVCMOS,,,,,,,,,
100,D4,IO_B6_100,,3.3-V LVCMOS,,,,,,,,,
101,DOUT2,IO_B6_101/  DIFFIO_R4N/  NCEO,,3.3-V LVCMOS,,,,,,,,,
102,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
103,D15,IO_B6_103/  DIFFIO_R4P/  CLKUSR,,3.3-V LVCMOS,,,,,,,,,
104,D5,"IO_B6_104/  DQS0R/CQ1R,DPCLK7",,3.3-V LVCMOS,,,,,,,,,
105,FSMC_nBL0,VREFB6N0,,3.3-V LVCMOS,,,,,,,,,
106,IMP_TXB,IO_B6_106/  DIFFIO_R1N/  PADD20,,3.3-V LVCMOS,,,,,,,,,
107,NetC108_1,VCCA2,,3.3-V LVCMOS,,,,,,,,,
108,GND,GNDA2,,3.3-V LVCMOS,,,,,,,,,
109,NetC110_1,VCCD_PLL2,,3.3-V LVCMOS,,,,,,,,,
110,D10,"IO_B7_110/  DIFFIO_T23P/  DQS0T/CQ1T,CDPCLK6",,3.3-V LVCMOS,,,,,,,,,
111,D11,IO_B7_111/  DIFFIO_T22P,,3.3-V LVCMOS,,,,,,,,,
112,D8,IO_B7_112/  PLL2_CLKOUTN,,3.3-V LVCMOS,,,,,,,,,
113,D9,IO_B7_113/  PLL2_CLKOUTP,,3.3-V LVCMOS,,,,,,,,,
114,D6,IO_B7_114/  RUP4/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
115,D7,IO_B7_115/  RDN4/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
116,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
117,+3.3B,VCCIO7,,3.3-V LVCMOS,,,,,,,,,
118,GND,GND,,3.3-V LVCMOS,,,,,,,,,
119,FSMC_nBL1,VREFB7N0,,3.3-V LVCMOS,,,,,,,,,
120,POL_P,IO_B7_120/  DIFFIO_T19N/  PADD1/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
121,POL_N,IO_B7_121/  DIFFIO_T17P/  PADD4,,3.3-V LVCMOS,,,,,,,,,
122,+3.3B,VCCIO7,,3.3-V LVCMOS,,,,,,,,,
123,GND,GND,,3.3-V LVCMOS,,,,,,,,,
124,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
125,IMP_TX,IO_B7_125/  DIFFIO_T13P/  PADD12,,3.3-V LVCMOS,,,,,,,,,
126,,CLK8_126/  DIFFCLK_5N,,3.3-V LVCMOS,,,,,,,,,
127,,CLK9_127/  DIFFCLK_5P,,3.3-V LVCMOS,,,,,,,,,
128,,CLK10_128/  DIFFCLK_4N,,3.3-V LVCMOS,,,,,,,,,
129,,CLK11_129/  DIFFCLK_4P,,3.3-V LVCMOS,,,,,,,,,
130,+3.3B,VCCIO8,,3.3-V LVCMOS,,,,,,,,,
131,GND,GND,,3.3-V LVCMOS,,,,,,,,,
132,ADC13_SDI,IO_B8_132/  DIFFIO_T10N/  DATA2/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
133,ADC13_CS,IO_B8_133/  DIFFIO_T10P/  DATA3/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
134,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
135,ADC13_CONVST,IO_B8_135/  DIFFIO_T9P/  DATA4/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
136,FSMC_CLK,VREFB8N0,,3.3-V LVCMOS,,,,,,,,,
137,ADC13_PD/RST,IO_B8_13/  DATA5/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
138,+1.2B,VCCINT,,3.3-V LVCMOS,,,,,,,,,
139,+3.3B,VCCIO8,,3.3-V LVCMOS,,,,,,,,,
140,GND,GND,,3.3-V LVCMOS,,,,,,,,,
141,D14,IO_B8_141/  DIFFIO_T2P,,3.3-V LVCMOS,,,,,,,,,
142,ADC13_READY,"IO_B8_142/  DATA12/  DQS1T/CQ1T#,CDPCLK7",,3.3-V LVCMOS,,,,,,,,,
143,D12,IO_B8_143/  PLL3_CLKOUTN/  DQ1T,,3.3-V LVCMOS,,,,,,,,,
144,D13,IO_B8_144/  PLL3_CLKOUTP/  DM1T,,3.3-V LVCMOS,,,,,,,,,
145,GND,EPAD,,3.3-V LVCMOS,,,,,,,,,
